Wielkość BubbleSort STLSort
1 0.001113 0.000289
2 0.001024 0.000435
3 0.001066 0.000498
4 0.001072 0.000651
5 0.0011 0.000562
6 0.001347 0.000639
7 0.001438 0.000737
8 0.001551 0.000872
9 0.00179 0.000969
10 0.00183 0.001063
11 0.001943 0.001183
12 0.002023 0.001222
13 0.00239 0.001443
14 0.002679 0.001476
15 0.002588 0.001442
16 0.002581 0.001537
17 0.002839 0.002013
18 0.002899 0.002026
19 0.004124 0.002105
20 0.004173 0.002167
21 0.004884 0.002321
22 0.005113 0.002302
23 0.005582 0.002229
24 0.005781 0.002559
25 0.006102 0.002552
26 0.006364 0.002564
27 0.007166 0.002706
28 0.007715 0.002791
29 0.026251 0.003154
30 0.008256 0.003303
31 0.008577 0.003058
32 0.008634 0.003309
33 0.008954 0.003631
34 0.009453 0.003715
35 0.009823 0.003963
36 0.010131 0.003985
37 0.0105 0.004012
38 0.010669 0.004055
39 0.011544 0.004384
40 0.011848 0.004365
41 0.011937 0.004354
42 0.012324 0.004392
43 0.012836 0.004637
44 0.012908 0.00488
45 0.014741 0.005454
46 0.016009 0.005534
47 0.016748 0.005336
48 0.017091 0.005393
49 0.020377 0.005453
50 0.020725 0.00578
51 0.021231 0.006009
52 0.02256 0.006068
53 0.023318 0.006096
54 0.023825 0.006253
55 0.024091 0.006301
56 0.025271 0.00639
57 0.027061 0.006683
58 0.028592 0.006769
59 0.029026 0.007086
60 0.030186 0.007109
61 0.031261 0.007461
62 0.031773 0.007183
63 0.032316 0.007414
64 0.032789 0.007561
65 0.033431 0.007968
66 0.033366 0.007981
67 0.034469 0.008248
68 0.035001 0.008394
69 0.035912 0.00825
70 0.036498 0.008286
71 0.037287 0.008391
72 0.041999 0.00835
73 0.043527 0.008331
74 0.043604 0.009547
75 0.0455 0.00952
76 0.043863 0.008932
77 0.04612 0.009316
78 0.045432 0.009296
79 0.046206 0.009419
80 0.047459 0.009044
81 0.048006 0.009494
82 0.049141 0.009801
83 0.050119 0.009998
84 0.05059 0.010571
85 0.050975 0.010518
86 0.052004 0.010195
87 0.054187 0.010605
88 0.054291 0.011324
89 0.056178 0.010402
90 0.055964 0.011144
91 0.056056 0.010784
92 0.057062 0.011481
93 0.058157 0.011066
94 0.058908 0.011418
95 0.105987 0.011816
96 0.059679 0.012054
97 0.060554 0.011689
98 0.061399 0.011642
99 0.061776 0.012005
100 0.062279 0.01228
