[02.12.07 15:22] q :  Albo duński dynamit :) . 
[02.12.07 15:02] xberus :  Tak, zawsze trafi się jakaś Grecja ;) 
[02.12.07 14:58] msz :  z resztą walić statystyki, w końcu po coś organizują te mistrzostwa, a nie raz na 4 lata przynają medale na podstawie rankingu FIFA 
[02.12.07 14:49] xberus :  Z drugiej strony, wyszły drużyny, które niczego nie przegrały ;) 
[02.12.07 14:42] q :  Już było tak kiedyś, że z polskiej grupy wychodziła drużyna, która nic nie wygrała: [link] <http://pl.wikipedia.org/wiki/Mistrzostwa_Świata_w_Piłce_Nożnej_1982#Runda_pierwsza>  
[02.12.07 14:11] roolin :  Rzeczywiście. Tylko kto przegra z Austrią? Bo jeśli my to raczej ciężko wierzyć w zwycięstwo z Chorwacją :> 
[02.12.07 14:05] Kasa :  e tam, mogłoby wystarczyć (Niemcy komplet punktów, każda z pozostałych drużyn po jednym zwycięstwie w tym Polska z najlepszym bilansem bramek i jestesmy w cwiercfinale :) ) 
[02.12.07 14:01] roolin :  no nie od wczoraj wiadomo, że jedno zwyciestwo do wyjścia z grupy nie wystarczy :) 
[02.12.07 14:01] dsk :  czyli nie jest takie pewne, że wyjdzie :P 
[02.12.07 14:00] sahar :  nie roolin. Ale tak czy siak mamy pozamiatane :-). Polska musi wygrac z Austria i (Niemcami lub Chorwacja) i wyjdzie 
[02.12.07 13:59] roolin :  Kasa, ja porównuje naszą sytuacje w grupie :) Sahar, ja chorwatów doceniam stawiając ich na równi z Czechami. Czy to mało? :O 
[02.12.07 13:51] sahar :  Niemcy i Chorwacja. Czemu nie doceniacie Chorwatow to nie wiem. Wyszli pierwszego miejsca i mieli bodajze jedna porazke w eliminacjach z Macedonia 
[02.12.07 13:46] Kasa :  roolin: ale my silniejsi od Turcji, mówiłem o grupach jako całości :) (A Chorwacja w czasie eliminacji wygrała dwa razy w dobrym stylu z Anglią) 
[02.12.07 13:43] Kasa :  aha, jakby ktoś chciał bilet za 15zł na najbliższy enemef (300, Simpsonowie, Death Proof, Planet Terror) to proszę o wiadomość. 
[02.12.07 13:42] roolin :  no nie wiem, moim zdaniem Szwacjaria lepsza od Austrii, Czechy porównywalne z Chorwacją (choć nie wiem, bo dawno tych drużyn w akcji nie widziałem)), a Portugalia może ciut słabsza od niemców.Niemcy 
[02.12.07 13:17] Kasa :  roolin: jak dla mnie grupa A jest na pewno słabsza od naszej, D jest mniej więcej porównywalna 
[02.12.07 13:10] xberus :  'Z czuba' właśnie przewidują półfinał dla nas ;) 
[02.12.07 13:09] roolin :  Mamy nasłabszą, albo prawie najsłabszą grupe. Przynamniej teoretycznie. Chociaż zamiast Niecmów wolałbym Rumunie albo Hiszpanie, ale wszystkiego mieć nie można :) 
[02.12.07 12:59] Kasa :  mogło być gorzej :) trzeba będzie wygrać jeden z pierwszych dwóch meczów i później liczyć na wygraną z Austrią... 
[02.12.07 12:46] q :  Euro 2008, grupa B: Austria, Chorwacja, Niemcy, Polska, meh, te Niemcy... 
[02.12.07 11:11] BIGos :  ja tam juz dawno wstalem 
[02.12.07 11:00] xberus :  Ja tak mam, że mało sypiam :P 
[02.12.07 10:25] bejnan :  xberus?Już wstałeś?Kurczaki...Ja wracam spać :P 
[02.12.07 9:59] xberus :  w wyszukiwaniu daj aby wyswietlo wynik jako posty 
[02.12.07 6:28] daguerre :  Wyszukiwanie na forum słabo działa. Znajduje topic ale jak ma np. 13 stron to traci to sens. 
[02.12.07 5:57] fala :  byłem wczoraj w stolicy Francji. gdybyście chcieli poprzeglądać foty to zapraszam: [link] <http://bleh.pl/fala_w_paryzu> polecam włączyć wyświetlanie tytułów 
[02.12.07 3:28] pawlik :  wtf 
[02.12.07 3:09] Paczesiowa :  ja moge napisac bajeczny parser 
[02.12.07 2:48] lispozord :  Zadanie: napisz gramatykę generującą poniższe, dla dowolnej liczby Japończyków. Uogólnij dla liczb zespolonych. 
[02.12.07 2:40] d* :  Było sobie trzech Japońców: Jachce, Jachce Drachce, Jachce Drachce Drachcedroni.Były sobie trzy Japonki: Cepka, Cepka Drepka, Cepka Drepka Rompomponi. Poznali się: Jachce z Cepką, Jachce Drachce z Cepką Drepką, Jachce Drachce Drachcedroni z Cepką Drepką Rompomponi. Pokochali i pobrali się: Jachce z Cepką, Jachce Drachce z Cepką Drepką, Jachce Drachce Drachcedroni z Cepką Drepką Rompomponi. Mieli dzieci: Jachce z Cepką mieli Szacha, Jachce Drachce z Cepką Drepką mieli Szacha Szarszaracha, Jachce Drachce Drachcedroni z Cepką Drepką Rompomponi mieli Szacha Szarszaracha Fudżi Fajkę. Kto powtórzy bajkę? 
[02.12.07 2:33] lispozord :  Wyindywidualizujcie się z rozentuzjazmowanego tłumu. 
[02.12.07 1:43] Mr_C :  Zażółćcie gęślą jaźń! 
[02.12.07 1:42] desp :  Jedzcie się nawzajem. 
[02.12.07 1:27] bot_reklamowy :  Jedzcie sałatki! 
[02.12.07 1:21] rzezioo :  He-Man 
[02.12.07 1:19] Paczesiowa :  Sramen 
[02.12.07 1:15] d* :  Ramen [link] <http://en.wikipedia.org/wiki/Ramen> 
[02.12.07 1:10] Railman :  Amen 
[02.12.07 1:05] MasterOfDisaster :  Skoro już się zebrało na mądrości około zabijania to: "Każda droga człowieka wydaje mu się prawa, lecz tym, który bada serca, jest Pan"[Przyp. 21,2] 
[02.12.07 1:05] Mr_C :  ale tak o trzy stopnie w lewo to mógłbyś z łaski swojej 
[02.12.07 0:45] d* :  I spowodować śmierć niewinnych ludzi -- i to z urzędu. I po co o tym tu gadać? I tak nic nowego, ciekawego, przekonującego nikt nie powie, więc może sobie damy spokój i pokiwamy główkami każdy jak chce i nikt nikomu kiwać nie zabroni, i nikt nikomu nie będzie mówił jak ma kiwać. 
[02.12.07 0:39] rzezioo :  roolin rzecz w tym ze kara smierci moglaby zapobiec smierci niewinnych ludzi 
[02.12.07 0:31] adi :  piękne... (Tolkien) 
[02.12.07 0:30] roolin :  i w ogóle mi się na filozofowanie zebrało, więc się specjalnie nie przejmujcie :) 
[02.12.07 0:29] roolin :  i jeszcze z ASa: "Zaiste wielkiego trzeba zaślepienia i wielkego zadufania aby posokę lejącą się z szafotu nazywać sprawiedliwością" 
[02.12.07 0:26] roolin :  zresztą zawsze mi się przypominają w takich dyskusjach słowa mistrza Tolkiena: "Wielu spośród żyjących zasługuje na śmierć. A niejeden z tych, którzy umierają, zasługuje na życie. Czy możesz ich nim obdarzyć? Nie bądź więc tak pochopny w ferowaniu wyroków śmierci. Nawet bowiem najmądrzejszy z mędrców nie wszystko wie." 
[02.12.07 0:21] roolin :  adi, czy twoje pytanie jest formą odpiedzi na moje? 
[02.12.07 0:20] rzezioo :  adi: lekarzem :) 
[02.12.07 0:18] gaborek :  nie... trochę się wyróżniają tacy 
[02.12.07 0:13] Mr_C :  obawiam się, że w obecnych czasach nikim wyróżniającym się 
[02.12.07 0:12] adi :  a kimże trzeba być, żeby dla kasy narażać zdrowie/życie innych? 
[02.12.07 0:04] Railman :  Himmlerem? 
[01.12.07 23:57] roolin :  kimże trzeba być by zabójstwo nazywac rozwiązaniem? 
[01.12.07 23:52] adi :  a producenci fałszywych leków szkodzą innym ludziom.... więc to jest jakieś rozwiązanie 
[01.12.07 23:08] pushq :  w zabijaniu innych ludzi raczej nie ma nic fajnego... 
[01.12.07 22:35] rzezioo :  ja chce tak u nas [link] <http://wiadomosci.wp.pl/wiadomosc.html?kat=1356&wid=9449834&rfbawp=1196544848.695>  
[01.12.07 22:16] rraptorr :  [link] <http://www.amazon.com/Microsoft-Windows-Ultimate-Numbered-Signature/dp/B000M2WPIQ> Vista z autografem Billa 
[01.12.07 21:54] rzezioo :  ja glosowalem wpoprzedniej i tej tez czyli mozna znowu glosowac 
[01.12.07 20:54] mlyczek :  zrobili po prostu nową ankietę i Ci co wcześniej głosowali już nie mogli tego zrobić :) ale teraz Polska już na 3 miejsu, wyprzedziliśmy Hiszpanię :) 
[01.12.07 20:52] pushq :  hehe poprzednią chyba wywalili jak się okazało, że Polska miała 98-99% :] obawiam się że teraz będzie trudniej zwołać pospolite ruszenie 
[01.12.07 20:50] MasterOfDisaster :  Do roboty, głosujemy na Polskę [link] <http://www.gazzetta.it/appsSondaggi/pages/gazzetta/d_1504.jsp> Pytanie w ankiecie: kogo na euro2008 boisz się najbardziej 
[01.12.07 19:12] gaborek :  [link] <http://gaborek.pl/index.php?option=com_content&task=view&id=21&Itemid=1> dzisiaj znów był turniej tańca towarzyskiego i znów się chwalę :] 
[01.12.07 16:45] nirvanka :  msz może go wcześniej zaznaczyłeś jako nie spam :D 
[01.12.07 16:40] sasik :  wziuziuziuziuziu ;p jaka fajna ta logika :D 
[01.12.07 16:03] msz :  google się starzeje, filtr antyspamowy przepuscił mejla z tytułem "Buy Viagra Now! Online Pharmacy!" 
[01.12.07 15:07] ryo :  mozesz miec nadzieje, ze w tym roku zrozumiesz, rzeczy ktore pozwola Ci w przyszlym roku zdac ;] 
[01.12.07 15:06] Marta :  ...to może w tym roku się w końcu pouczysz i przyjdziesz na egzamin? 
[01.12.07 15:05] lispozord :  grapox: zawsze możesz spróbować wersji PSX-owej na emulatorze. 
[01.12.07 14:47] sahar :  moja jedyna. W tym roku jak bede podchodzil poraz 4-ty do formalnych to.... 
[01.12.07 14:24] desp :  s/moja/moją pierwszą/ 
[01.12.07 14:23] Erotyczny :  nie odzywaj się wykształciuchu ty 
[01.12.07 14:10] Siledhel :  wspieramy cię 
[01.12.07 14:06] sahar :  Pamietam moja polowke z logiki. Twi wywiesil wyniki na tej szklanej szybie od tablicy w starym ii. Wszyscy się zbiegli i ogladaja wyniki. Ja tam gdzies z tylu ledwo co widzialem tam. Patrze...przy moim nazwisku 20!! Jest!!! morda ucieszona ciesze się itp...gdy juz grupka się rozdrzedzila to podeszlem do tablo znow zobaczyc i nacieszyc swoj wzrok wynikiem. I nacieszylem . To nie bylo 20pkt tylko prognozowana ocena 2.0 ... :-))))) 
[01.12.07 13:36] desp :  *Mr_C*++ 
[01.12.07 13:02] ryo :  wystarczylo "nabyc: inna wersje i dzialalo ;] 
[01.12.07 13:02] ryo :  pamietam, ze moja kiedys tam w przeszlosc wieszala się juz na pierwszej plycie... 
[01.12.07 13:01] ryo :  grapox jak, moze masz jakas lipna wersje ;] 
[01.12.07 11:46] Mr_C :  jak człowiek wilqa nie czyta, to się potem pyta (orta poprawiłem) 
[01.12.07 10:55] wiosna :  Mr_C : lekkie jak jaja płetfonurka ? 
[01.12.07 10:48] grapox :  Za bardzo się przejmujecie tą połówką - są dużo większe problemy np. Final Fantasy VII mi się wiesza pod xp :( 
[01.12.07 10:36] adi :  13ta coraz bliżej.... 
[01.12.07 9:43] BIGos :  paanie, daj pan spokoj 
[01.12.07 4:29] rzezioo :  zamiast się nachlac to wy logike robicie.. wstyd! 
[01.12.07 2:57] sasik :  trarara, logika 
[01.12.07 2:12] Mr_C :  jeszcze kilka linijek i zobaczysz jak słonko wstaje ;) 
[01.12.07 1:57] BIGos :  juz wiem, czemu tu po nocach piszecie: z niecheci do logiki piszę sobie zadane moje pierwsze drzewo BST, zerkam na zegar a tu 1:56. Jak ten czas leci przy kodowaniu... 
[01.12.07 0:59] rzezioo :  [stawiam browca] 
[01.12.07 0:51] Mr_C :  Wzrok mi padł na "Everybody will walk ten miles" i tu niestety dał ciała 
[01.12.07 0:42] af :  [link] <http://bp3.blogger.com/_sGYULzoQCgA/RiR7L_dyCLI/AAAAAAAAAdU/2COTRQtZAk8/s1600-h/Ladies+Home+Journal+Dec+1900+paleofuture+paleo-future.jpg> - wow, dziennikarz w 1901 przewiduje swiat w 2001. calkiem trafnie;) 
[01.12.07 0:38] desp :  <świerszcze> 
[01.12.07 0:37] rzezioo :  ja nadal uwazam ze to sprawa miedzy wladzami brytyjskimi a sudanskimi 
