target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
0.0,0.5608795402624472,0.4868477766567253,0.19337808381593405,0.15699258363974594,0.8373305188635013,0.0463182789384169,0.188749057686444,0.7360784370982824,0.4410673680830197,0.6984629628161193,0.6409681671330958,0.44660907868382893,0.1704474300655943,0.19575643940260912,0.5063251331668653,0.4732300094632428,0.4220642856761095,0.6374868537061522,0.7061863916036287,0.16285609832469009,0.7291694167895851,0.06212448629723932,0.05392781208031607,0.15435982435133114,0.14299841500459234,0.18312058331284492,0.18686903883507214,0.14953810673844548,0.937433443053744,0.131474622823347,0.5239140132405462,0.6704210380159782,0.5537974538279378,c26,c9,c0,c2,c1,c1,c2,c30,c1,c1,c1,c0,c0,c11,c2,c0,c1,c1,c0,c0,c1,c1,c1,c2,c0,c0,c0,c26,c0,c0,c0,c1,c1,c0,c2,c1,c1,c0,c1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.4236420079780765,0.4993714157403574,0.2665114996839797,0.2200760422805971,0.8428896956520362,0.050709357554685225,0.7782267729188966,0.9289510667902982,0.6499589739074936,0.7410948111257629,0.4678365118567708,0.623975737285109,0.3607680064004439,0.4645257433031267,0.4680778016573923,0.7205911664381633,0.779879731997453,0.4575021844772672,0.403229174120591,0.17866576855048494,0.9368919241416116,0.07825568536526256,0.04436331077764615,0.3385810305191982,0.4474713165670594,0.2178649901621827,0.8941516585833801,0.218292974492706,0.7484273603873234,0.09391499042470207,0.4374255021133738,0.636972889253272,0.42022669013288705,c26,c24,c0,c2,c1,c1,c0,c18,c1,c1,c1,c1,c0,c18,c26,c0,c0,c1,c1,c0,c1,c1,c1,c1,c0,c1,c0,c20,c0,c0,c0,c0,c1,c0,c2,c1,c1,c0,c1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0.0,0.3992822496671857,0.17144270328324238,0.2367967653162584,0.13242146073584546,0.21826155046700896,0.015060049368630844,0.47811296109543183,0.6670132548315433,0.20475319999542116,0.4231429038590326,0.29520468807014943,0.4362139719010767,0.27922977629258783,0.6040577805512761,0.6320890631052788,0.5934681343784219,0.6848440459418991,0.5326308843248717,0.4927754338400319,0.20812607863371246,0.699622807784297,0.09546864154234312,0.22978050455600615,0.046376570924076085,0.4959556219369572,0.29383539922488683,0.2452854690025961,0.19341425974663207,0.8761726503972065,0.2697439186717182,0.3698281804818847,0.5528028473041179,0.39170297318592684,c2,c24,c0,c2,c1,c1,c1,c24,c1,c1,c1,c1,c1,c11,c17,c0,c1,c1,c1,c1,c1,c1,c1,c2,c1,c0,c0,c8,c0,c0,c0,c0,c1,c0,c2,c1,c1,c0,c1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
0.0,0.3752380056162496,0.2336575618517757,0.3600725396798483,0.3317268168310197,0.9325102215721036,0.04241354331821301,0.5304011076669165,0.46220716658660727,0.6598670092653935,0.6129970732543379,0.5303977526444612,0.502236220206123,0.270487200480185,0.34840924039782567,0.7750739725750231,0.5581804752796964,0.642324637229715,0.5882811031998243,0.5096911242940734,0.1606520692410089,0.8211871566855211,0.02591507098787824,0.037464543961214174,0.5035601302731457,0.7106056367662694,0.2700378957673881,0.3015437684717152,0.9601978435948344,0.6972925540111468,0.1889264042386945,0.19959276208255086,0.8453604262762062,0.6863335601775932,c22,c9,c0,c2,c1,c1,c0,c6,c1,c1,c1,c1,c0,c30,c5,c0,c1,c1,c1,c8,c1,c1,c1,c2,c1,c0,c0,c21,c0,c0,c0,c2,c1,c0,c2,c1,c1,c0,c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
0.0,0.5066705973971956,0.175119100913552,0.2375034934169646,0.4139263700805479,0.1972574865451054,0.042698697086471414,0.3888526399802188,0.6067907329825376,0.35514720999996535,0.5014572294718608,0.29014526238004207,0.4987880190766578,0.24169740729280545,0.5180944978412902,0.32468107088410847,0.4234734126322382,0.5547063709289446,0.2690811985758744,0.4372675201739647,0.502362824341914,0.5688659645544312,0.08086826162338827,0.32819391129561626,0.028165455017321126,0.5411457209566812,0.19079939973079996,0.7903968042397647,0.3168647804619692,0.6875457447759479,0.5688337515444437,0.1867358100334253,0.4014650643617619,0.4547804761794384,c8,c9,c0,c2,c1,c1,c0,c9,c1,c1,c1,c1,c1,c6,c8,c0,c1,c1,c1,c0,c1,c1,c1,c2,c1,c1,c0,c8,c0,c0,c0,c2,c1,c0,c2,c1,c1,c1,c1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
0.0,0.522637915692304,0.1176837280360436,0.22070789685232287,0.5911741028227322,0.8528532178565643,0.0568982694234754,0.5492871149510385,0.5326435203840122,0.6936556758761221,0.4850921900691961,0.568534720395876,0.17477958076060954,0.2940132424632849,0.2324350283411165,0.5371903381191465,0.4682895064017689,0.6225882635709349,0.46738181708717774,0.18004787721024698,0.18864604904146712,0.7740842143471083,0.08594937627372011,0.03627921425698626,0.3286964039804416,0.4377121098601149,0.7855839658605526,0.8210840526947124,0.10714530689339508,0.6820290159633177,0.28601614416186993,0.2528551525881237,0.5973047724446217,0.5767901783008189,c26,c14,c0,c2,c1,c1,c1,c14,c1,c1,c1,c0,c1,c11,c26,c0,c1,c1,c0,c1,c1,c1,c1,c2,c1,c0,c0,c12,c0,c0,c0,c5,c1,c1,c2,c1,c1,c1,c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
0.0,0.4313491371678809,0.6876198746378004,0.22050616143840845,0.4589795468793812,0.11375850489526808,0.025978624552211692,0.44161117188001037,0.5713246149845527,0.46513284578858993,0.5406834144694462,0.4055011432989781,0.35932735027832,0.2740461521112941,0.43877113380579,0.7422878987790893,0.3455309948890373,0.6229102426486733,0.5402154010794594,0.7499429568979026,0.3975711720749848,0.6719197825989277,0.06443184094970754,0.04423281832464786,0.043113401111557564,0.1945297020074597,0.21613708163598336,0.30478493057508765,0.3629602979920025,0.9190231175776432,0.4099414674782509,0.4148638552861928,0.8807207935995685,0.5357867791051868,c2,c9,c0,c2,c1,c1,c2,c4,c1,c1,c1,c1,c0,c24,c3,c0,c1,c1,c1,c1,c1,c1,c1,c2,c0,c1,c0,c8,c0,c0,c0,c1,c1,c0,c2,c1,c1,c1,c1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0,0.5070619074127836,0.3403767866720721,0.1926992901437503,0.2512012557174832,0.10610045519618808,0.03788066637624863,0.3962552199036589,0.4660331618896647,0.5392983180470514,0.2635670059607657,0.4380930930825676,0.5497162056317875,0.19247026297467354,0.40391846485815913,0.5615382537687262,0.4521230193935975,0.7116197779030425,0.6286738785444309,0.544721971237154,0.2940132424632849,0.7464723344532752,0.07334288991055549,0.026795904526077437,0.03642012096697128,0.22539136567182064,0.16370505735937124,0.2594781293630102,0.271814461275957,0.9031021389311308,0.14290356922958192,0.3414962511687941,0.6488267354057179,0.6793136020120271,c8,c9,c0,c2,c1,c1,c0,c9,c1,c1,c1,c1,c1,c7,c27,c0,c1,c1,c1,c1,c0,c1,c1,c2,c1,c1,c0,c8,c0,c0,c0,c1,c1,c1,c2,c1,c1,c1,c1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
0.0,0.5076483318458971,0.6755176443911669,0.3338164555509323,0.43684584961315504,0.22121341515569265,0.043144747730833086,0.3201421063751203,0.37749377518740457,0.3862097353495249,0.5494669192327357,0.5667473029962803,0.10374851234346884,0.3106773669863973,0.743997803682507,0.5396301348474533,0.6441803415944969,0.5859215157659095,0.3698312485140651,0.4746506986038284,0.20972593615622787,0.826530999835306,0.0560745239515902,0.0543809622098237,0.037164239768932864,0.6883931763934178,0.37907951229136505,0.213822720152355,0.27135034888356835,0.721538782732235,0.20534571851319655,0.26830143916021554,0.8509169256228319,0.46242707678423944,c26,c24,c0,c0,c1,c1,c0,c24,c1,c1,c1,c1,c1,c11,c26,c0,c1,c1,c1,c0,c1,c1,c1,c0,c1,c1,c0,c14,c0,c0,c0,c0,c1,c1,c2,c1,c1,c1,c1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
0.0,0.3917500151854968,0.2289965170903109,0.13282966551315722,0.18112828825386545,0.4318013462001485,0.2830748093781837,1.0,0.3850017449137597,0.79841406633349,0.7143502615531954,0.48174479707242085,0.11745893537883345,0.18117463256403865,0.5145644158168239,0.5254000852563199,0.37007286039381454,0.5102359424989711,0.17963684715805756,0.5139897826517069,0.15067574956414606,0.7086873539581262,0.06223712870938694,0.03104680932673345,0.07493975396919954,0.5045747593840784,0.7563734355838041,0.2229331091010841,0.12532558186622414,0.7464550119760184,0.1781249002786682,0.2927213962402581,0.5995523032729011,0.25262403801919353,c0,c11,c0,c2,c1,c1,c0,c23,c1,c1,c0,c0,c1,c9,c0,c0,c2,c1,c1,c8,c1,c2,c1,c0,c1,c0,c0,c8,c0,c4,c0,c8,c1,c1,c0,c1,c1,c0,c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
